skill,title,link,platform
c++,C++ Full Course,https://www.youtube.com/watch?v=2-4m4XT5iMk,YouTube
database design,Database Design Full Course,https://www.youtube.com/watch?v=ZSRHe_7d6P4,YouTube
wireframing,Wireframing Tutorial,https://www.youtube.com/watch?v=AY_8_V_7g_4,YouTube
prototyping,Prototyping Tutorial,https://www.youtube.com/watch?v=0_6S55nSjKU,YouTube
adobe xd,Adobe XD Tutorial,https://www.youtube.com/watch?v=3_33W4-w-78,YouTube
c#,C# Full Course,https://www.youtube.com/watch?v=62464-h49q8,YouTube
unity,Unity Full Course,https://www.youtube.com/watch?v=Z8J1-q1Qz6A,YouTube
math,Math for Game Developers,https://www.youtube.com/watch?v=2-4m4XT5iMk,YouTube
physics,Physics for Game Developers,https://www.youtube.com/watch?v=ZSRHe_7d6P4,YouTube
unreal engine,Unreal Engine Full Course,https://www.youtube.com/watch?v=AY_8_V_7g_4,YouTube
3d modeling,3D Modeling Full Course,https://www.youtube.com/watch?v=0_6S55nSjKU,YouTube
solidity,Solidity Full Course,https://www.youtube.com/watch?v=3_33W4-w-78,YouTube
smart contracts,Smart Contracts Full Course,https://www.youtube.com/watch?v=62464-h49q8,YouTube
web3.js,Web3.js Tutorial,https://www.youtube.com/watch?v=Z8J1-q1Qz6A,YouTube
ethereum,Ethereum Full Course,https://www.youtube.com/watch?v=2-4m4XT5iMk,YouTube
kotlin,Kotlin Full Course,https://www.youtube.com/watch?v=Z
